key;value
Cекс по телефону;300р (10 мин)
Лесби откровенное;+3000  зарание
Лесби-шоу;+3000 за 2х зарение
Страпон;Мой или ваш
Анилингус;+1000( могу отказать)
Золотой дождь;+500 только на тело
Госпожа;Лайт
Клизма;По договоренности
Трамплинг;500
Секс групповой;Только если мы уже знакомы
Секс лесбийский;Есть подружки
Ролевые игры;Зависит от ваших пожеланий
Страпон;2000
Золотой дождь;5000
Фистинг классический;Фингеринг
Фингеринг;+1000. только в перчатке
Рабыня;От +2000
Фетиш;От +1000
Игры;От +1000
Окончание на грудь;При заказе мбр
Секс групповой;Двойная цена
Фингеринг;1000
Легкая доминация;1500
Секс групповой;Х2
Секс лесбийский;Х2
Услуги семейной паре;Х2
Минет без резинки;+3т.р.
Игрушки;Для Вас
Окончание в рот;По договоренности
Боди массаж;1000
Расслабляющий массаж;1000
Ролевые игры;2000
Легкая доминация;+500в вашу стор.
Игры;По договоренности
Окончание на грудь;500
Минет в презервативе;Будешь доволен.
Минет без резинки;+2000.Только  если заведешь меня... +2000
Минет глубокий;Только в презервативе
Куннилингус;По симпатии строго
Игрушки;Любые
Боди массаж;Прошла большое колисество курсов и семинаров.
Профессиональный;Отличный
Расслабляющий массаж;Массаж ЛИНГАМА (генитальный с теплым гелем)
Урологический массаж;+1000. Массаж простаты
Эротический;Лингам, массаж яичек, мошонки, пениса. Боди-массаж,откровенные ласки,ветка Сакуры,массаж ануса и яичек. Под музыкку Тантры при свечах. Незабываемое блаженство!
Ролевые игры;Доп. 5000 (по вашему сценарию)
Виртуальный секс;Стоимость часа.
Стриптиз;Могу станцевать если создадите атмосферу
Лесби откровенное;С вашей подругой
Страпон;+2000р. Любые размеры
Анилингус;+2000Отличный. Люблю! Чистым попочкам
Золотой дождь;+2000р - на тело
Копро;+4000 заранее сообщать
Фистинг классический;Несколько пальчиков
Рабыня;+12000. Заранее сообщать о желаниях!
Порка;Доп. В легкой форме
Фетиш;Футфетиш, футджоб. Высокие каблуки, красивое белье, чулочки
Трамплинг;+1500. Профессионально.
Игры;Ролевые игры обожа!
Боди массаж;Силовой
Расслабляющий массаж;Боди
Страпон;Вам..игрушки Ваши
Фетиш;Ножки ухожены!
Трамплинг;Похожу по всем частям тела!
Услуги семейной паре;Доп.
Минет без резинки;Доп.
Игрушки;Доп,
Урологический массаж;Доп.
Ролевые игры;Доп.
Стриптиз;Доп.
Золотой дождь;Доп.
Легкая доминация;Доп.
Фетиш;Доп.
Игры;Доп.
Анальный секс;4000 с ограничениями!
Секс групповой;ЖМЖ  есть подружка 26 лет
Минет без резинки;На мое усмотрение!При наличии фимоза,любых высыпаний,покраснений или неприятного запаха эта опция невозможна!
Минет глубокий;НЕ ГОРЛОВОЙ!!!
Куннилингус;На мое усмотрение
Целуюсь;Исключительно по собственной инициативе с некурящими и ухоженными зубами!
Окончание на грудь;На попу,живот
Боди массаж;Спина,шея,не профи.При условии одного контакта
Эротический;Ветка сакуры
Ролевые игры;2000  Сексапильная тёща или тетушка,Похотливая соседка.. Скромная библиотекарша, мечтающая о развратном сексе...
Страпон;+2000только для подготовленных!
Анилингус;5000на моё усмотрение,чистоплотным и ухоженным!
Легкое подчинение;Шлепки по попке,грязные словечки)
Фетиш;Фут-фетиш, фетиш белья
Трамплинг;Есть ботфорты на шпильках
Минет без резинки;500
Фото/видео съемка;20000
Фистинг классический;2000
Секс классический;По договоренности
Минет в машине;5000
Игрушки;По договоренности
Окончание в рот;При МБР
Боди массаж;По договоренности
Профессиональный;4000
Расслабляющий массаж;По договоренности
Урологический массаж;По договоренности
Эротический;По договоренности
Ролевые игры;По договоренности
Фото/видео съемка;По договоренности
Эскорт;По договоренности
Виртуальный секс;По договоренности
Cекс по телефону;По договоренности
Лесби-шоу;По договоренности
Анилингус;По договоренности
Золотой дождь;По договоренности
Фистинг классический;По договоренности
Легкая доминация;По договоренности
Фетиш;По договоренности
Трамплинг;По договоренности
Анальный секс;Только у одной
Секс групповой;Она он она
Минет без резинки;Договорная
Куннилингус;Обожаю
Окончание в рот;Договорная
Анилингус;Договорная
Госпожа;Две госпожи
Анальный секс;Only for little penis
Секс групповой;I like it but for every next person you must pay 100euro
Секс лесбийский;I like it very very much and I have my girl-friends if you want to meet together you must give me avance
Услуги семейной паре;1 houre  x2 price
Минет без резинки;Not for all person and if you pay for minimum 4 houre
Минет глубокий;Im the best on this Deep throat blowjob
Минет в машине;I like it very much too! if you want we can make it in my car
Куннилингус;Oh yes! wow! cant live without it
Целуюсь;10000rbl
Игрушки;I have it for me and for you
Окончание в рот;Not for all person and if you pay for min. 4 houre
Боди массаж;10000
Урологический массаж;3000
Ролевые игры;I can be your teacher ore you secretary
Фото/видео съемка;If you want do it - you must pay extra
Эскорт;1 week  5000 euro
Виртуальный секс;HD quality 10 min. 2000 Rbl
Cекс по телефону;10 min 1000 Rbl
Страпон;О да! разработаю нежно твою попку
Анилингус;10 000 rbl
Золотой дождь;От 10000р на ножки
Фистинг классический;Maximum 4 finger
Рабыня;От 10тыс руб
Анальный секс;+2000 за 1контакт,с ограничениями
Минет без резинки;+1000,только Чистоплотным!
Минет глубокий;При Позволяющих размерах! НЕ горловой!
Окончание на грудь;Живот, бедро
Окончание в рот;+1000 при МБР
Боди массаж;Любительский уровень
Урологический массаж;+1000, для подготовленных
Ролевые игры;Ваш сценарий
Страпон;+2000, для Подготовленных
Золотой дождь;+1000, Предупреждайте!  ЗАРАНЕЕ.
Легкая доминация;В Вашу сторону, Ваш сценарий
Фетиш;Оговариваем заранее Ваши желания...
Игры;По договоренности
Услуги семейной паре;За доплату (обсуждается Лично)
Игрушки;Много разных
Cекс по телефону;15мин - 500р
Секс классический;100
Секс групповой;Есть мальчик, Пассив.
Минет в презервативе;Доп1000
Минет без резинки;От моего раба.
Куннилингус;ПринудительныйЭ
Игрушки;От маленьких...до больших
Окончание на лицо;Моему рабу.
Окончание в рот;Моему рабу.
Урологический массаж;Вам акуратно пальчиком.
Ролевые игры;Фантазии разные.
Страпон;От маленьеих до больших.
Золотой дождь;В рот ...на тело...на лицо.
Легкая доминация;Для новичков
Бандаж;Наручники верёвки.
Порка;Плетка ремень розги.
Игры;Обсуждаем вместе.
Куннилингус;Oral Box,принудительный,с элементами асфикции,в гинекологическом кресле
Игрушки;БОЛЬШОЙ ВЫБОР,разные размеры
Урологический массаж;лингама,фенгеринг
Страпон;трахну как суку,феминизация
Золотой дождь;в рот,в нос,в глаза,на тело
Копро;копро по WhatsApp
Бандаж;чулками,колготками,смирительная рубашка,наручники,веревки,мумификация
Порка;есть лавка
Фетиш;...чулки,колготки,нижнее белье
Секс классический;В неклассическом исполнение.....))))                                  и с удовольствием
Минет без резинки;Для чистоплотных           смачно..сочно...с удовольствием!
Боди массаж;С душой(всё тело)
Профессиональный;Профессионально
Анилингус;1000 влажный язычек касается самых эрогенных зон. тело дрожит в предвкушении..очень качественная имитация!
Фетиш;Ухоженные ножки..красивая обувь. чулки.
Секс групповой;Групповые сессии обсуждаются
Фото/видео съемка;На ваш гаджет
Cекс по телефону;10 минут  1000
Расслабляющий массаж;With oil
Эротический;Body to body
Секс классический;1000
Секс групповой;ЖМЖ+2000+цена моей подруги
Секс лесбийский;+2000 (Я -- Верх, она-- низ, только в данном аспекте)
Минет в презервативе;1000
Минет в машине;По цене часа 5000р
Куннилингус;В тои числе фейсситтинг, кончу вам в рот
Ролевые игры;Много костюмов
Фото/видео съемка;Цена договорная
Страпон;Любые размеры
Фистинг анальный;Хоть рукой, хоть ногой
Бандаж;Различные виды
Клизма;Вам
Игры;Много костюмов
Фистинг классический;Пару пальчиков
Куннилингус;500
Минет глубокий;Выборочно
Куннилингус;1000
Игрушки;1500
Ролевые игры;1500
Окончание на грудь;На большую.. мягкую нежную настоящую грудь!
Урологический массаж;На гинекологическом кресле
Страпон;Для новичков поперсы
Порка;Не только девайсами но и рукой..
Анальный секс;Дорого!!)))
Минет глубокий;Стараюсь))
Эротический;Body massage!!! Веточка сакуры))) Искусительница в этом деле!!!))))
Фото/видео съемка;2000 без лица!!!
Виртуальный секс;От500
Страпон;В Вашу сторону)))
Золотой дождь;Оговаривается заранее!!!
Золотой дождь;5000 на тело, грудь, рот
Копро;Дорого!!! Обговаривается заранее!)))
Рабыня;В пределах разумного!!)))
Секс групповой;МЖМ, двойное проникновение, 12000час
Расслабляющий массаж;Не профи
Секс классический;(не для нижних)
Минет в презервативе;Не для нижних.
Минет без резинки;Иррумации нет
Минет глубокий;Размер имеет значение
Виртуальный секс;Ватсап,скайп,вайбер
Страпон;С чистой задницей(готовишься сам дома заранее)
Легкая доминация;Плевки,мат,оскорбления,пощечины,пинки,подзатыльники
Фетиш;Фут-фетиш,белье
Анальный секс;500
Минет без резинки;Чистоплотность обязательна! мирамистин есть)
Боди массаж;На столе или на кровати
Минет глубокий;2000
Рабыня;1000
Лесби откровенное;7000
Лесби-шоу;6000
Фистинг анальный;2000
Фингеринг;500
Анальный секс;+4000 за контакт,  доставляет мне огромное удовольствие
Секс групповой;Зависит от сценария
Минет без резинки;+3000, без проглота
Страпон;+2000, только после подготовки(клизмирования)
Фистинг анальный;От 3000, зависит от Ваших пожеланий, строго после подготовки(клизмирования)
Фистинг анальный;+4000 не более 4 пальцев
Фистинг классический;+4000 не более 4 пальцев
Клизма;+2000, процедура проводится одноразовыми материалами
Анальный секс;Люблю)
Минет без резинки;Очень избирательно, могу отказать
Минет в машине;4000
Куннилингус;Обожаю и кончаю
Окончание на грудь;И на попу)
Урологический массаж;Нежно,до полного расслабления)
Ролевые игры;Различные сценарии
Эскорт;Обговаривается заранее
Виртуальный секс;Фото, видео по ватсапу
Cекс по телефону;1000
Страпон;Вам понравится
Золотой дождь;Обговаривается заранее
Госпожа;Обговаривается заранее
Легкая доминация;В Вашу сторону
Порка;Вам в легком варианте
Игры;Различные сценарии
Услуги семейной паре;8000 - час
Окончание в рот;Глотаю
Расслабляющий массаж;Любительский уровень.)
Фингеринг;Классический
Фетиш;Вам, +2000, на мое усмотрение
Минет без резинки;1000
Окончание в рот;+500 (при мбр)
Боди массаж;Хорошо делаю массаж!
Эротический;Всеми своими прелестями буду мять тебя)
Секс классический;Люблю в разных позах, очень гибкая. Pussy очень узкая, анатомическое строение + владею мышцами влагалища. С правильным мужчиной и подходом кончаю много и бурно
Секс групповой;Только если Мы уже знакомы. МЖМ. ММЖМ. ММЖММ. 10к час с каждого.
Секс лесбийский;Переодену и трахну тебя. +4000
Услуги семейной паре;Территория нейтральная или ваша. Выезд 20000 час
Минет в презервативе;Супер тонкие кондоны
Минет глубокий;Горловой +6000
Куннилингус;Маленькая, розовенькая, люблю куни.  +2000
Целуюсь;ДОП. ДОП.
Игрушки;ДОП. ДОП.
Окончание на лицо;Будет красиво +2000
Расслабляющий массаж;ДОП. ДОП.
Урологический массаж;ДОП. ДОП.
Ролевые игры;Люблю и умею. Доп.
Фото/видео съемка;Обсуждается при личной встрече
Эскорт;От 10к  без интима. Выставки, Музеи, Театр, Ресторан, Бар, Путешествие ))
Виртуальный секс;2000 руб. на 10 минут или 3000 10 минут с лицом, Видеозвонок. Сексуальный образ, стриптиз, игрушки
Cекс по телефону;1000 10 минут, запретных тем нет
Стриптиз;Или тверк))
Страпон;Прекрасно им владею. Приходить подготовленным (ЧИСТЫМ!) +2000
Золотой дождь;Предупреждать по телефону. ДОП. ДОП.
Фистинг анальный;Доп. Доп.
Фингеринг;В презервативе +1000
Госпожа;Доп. Доп.
Легкая доминация;Доп. Доп.
Порка;В твою сторону. Доп.
Фетиш;Дико возбуждаюсь, когда мне лижут ножки и каблуки)) ВСЕВОЗМОЖНЫЙ Фетиш. Истинная Фетишистка)) Доп.
Трамплинг;Доп.
Куннилингус;Будешь заслуживать или буду принуждать
Игрушки;Для Тебя и для Меня!
Окончание на грудь;Если будешь радовать меня..
Боди массаж;Ты мне. когда я в настроение..
Расслабляющий массаж;Занежу тебя после того как использую как следует..
Урологический массаж;Умело!
Ролевые игры;Любые сценарии! ..обожаю быть Мамулей!!..Ты на приеме у доктора...Учительница-научу плохому и за это накажу....В плену у чекнутой..и многое другое)
Фото/видео съемка;Обсуждаемо
Эскорт;Возможны варианты)
Виртуальный секс;Видео-звонок!
Cекс по телефону;Доминация по телефону и откровенные разговоры
Стриптиз;В игре соблазнение- полюбуешься Госпожой..
Стриптиз;Научу тебя двигаться как мне нравится.
Лесби откровенное;С Моей Новой Рабыней!
Страпон;Люблю трахать брутальных Мужчин
Анилингус;Сделает Моя Покорная Рабыня.
Золотой дождь;Бушь ловить каждую капельку!
Копро;Встреча КОПРО-завтрак 10.000
Фистинг анальный;Встреча ONLY FIST-10.000
Фингеринг;Воспользуюсь Твоими пальцами для себя!
Госпожа;Твоей мечты!)
Легкая доминация;Для поклонников бархатного доминирования..внимательное и нежное обращение
Бандаж;Веревкой или мумификация пленкой
Клизма;Обожаю игры с клизмой!
Фетиш;И даже самые странные!
Секс групповой;МЖМ,ЖМЖ х2(есть подруга)
Услуги семейной паре;Х2
Профессиональный;Серфтифицированный мастер массажа
Ролевые игры;Медсестра,полицейский,школьница,учитель,горничная,BDSM
Лесби откровенное;Х2
Лесби-шоу;Х2
Золотой дождь;На тело
Фистинг анальный;Полный
Фистинг классический;Полный
Фингеринг;Анальный или вагинальный
Рабыня;В легкой форме
Секс классический;Люблю в разных позах
Анальный секс;Тебе понравится
Минет глубокий;О как глубоко!!!
Окончание на грудь;На такую грудь, грех не кончить..
Окончание на лицо;Только не на глаза
Золотой дождь;Всегда готова
Анальный секс;Тебе понравится!
Секс классический;Узкая розовая дырочка,  не рожавшая.  Уютная.)
Услуги семейной паре;Возможны. Обсуждаются индивидуально
Минет в презервативе;Пососу смачно вашу конфетку)))
Минет без резинки;Доп.программа в исключительном случае и далеко не для всех!
Куннилингус;Не для всех и строго на мое усмотрение!
Целуюсь;Исключительно по симпатии
Игрушки;Для вас две,побольше и поменьше
Окончание на грудь;Возможно по симпатии
Боди массаж;ВХОДИТ В СТОИМОСТЬ
Профессиональный;ИСПОЛНЯЕТСЯ НА СОВЕСТЬ НА МАССАЖНОМ СТОЛЕ, ВХОДИТ В СТОИМОСТЬ ЧАСА
Урологический массаж;Доп.программа,с фаллоимитатором если хотите,плюс три тысячи
Эротический;Будет вкусно? ммм)
Ролевые игры;Варианты различны,обговорим.)
Эскорт;Обговаривается в отдельном случае, загран паспорт имеется.
Cекс по телефону;+1000 рублей на карту, 10 минут общения на любые интересующие вас развратные темы.) Пошалим?
Лесби откровенное;При выезде к семейной паре, оплачивается дополнительно
Страпон;Игрушки для вас, 4 штуки, от совсем маленькой, до побольше.)
Анилингус;Плюс 2000
Фингеринг;Плюс три тысячи  и только на моё усмотрение.
Госпожа;В лёгкой форме
Легкая доминация;С игрушками Вам
Игры;Есть костюмы для ролевых игр,  спрашивайте заранее .
Анальный секс;Люблю
Минет глубокий;Тебе понравится
Анилингус;На свое усмотрение
Золотой дождь;Только на тело
Анальный секс;Доп
Боди массаж;3000
Профессиональный;3000
Расслабляющий массаж;3000
Эротический;3000
Госпожа;По договоренности
Бандаж;3000
Фетиш;Доп
Трамплинг;Доп
Анальный секс;Размер имеет значение
Услуги семейной паре;По договоренности
Минет без резинки;По договоренности
Страпон;+1000 приходите подготовленным
Анилингус;+1000 по симпатии
Золотой дождь;+1000предупреждать заранее
Анальный секс;В твою сторону!
Секс групповой;С рабыней
Секс лесбийский;С рабыней
Окончание на грудь;Тебе
Окончание в рот;Тебе
Игры;Разные сценарии
Анальный секс;Доп. 10 000 руб только для маааленьких )
Секс групповой;Обожаю! особенно девочек
Секс лесбийский;Да да) люблю лизать сладкие киски
Услуги семейной паре;Обожаю развращать стеснительных новичков
Минет без резинки;Только для постоянного мужчины!
Минет глубокий;Настоящий горловой
Минет в машине;Люблю экстрим ! можно и в моей но тогда цена выезда! недешевая услуга
Куннилингус;Люблю когда делает профи. кончаю. сквиртую
Целуюсь;5000
Игрушки;Мой розовенький вибратор тебе в попка, а? -)
Окончание в рот;Только с постоянным любовником
Боди массаж;Классика эротического массажа
Урологический массаж;Нежно и аккуратно моим тоненьким пальчиком
Ролевые игры;Обожаю быть строгой начальницей или похотливой мамочкой
Фото/видео съемка;По договоренности при встрече
Эскорт;От 50 000 руб сутки! .
Виртуальный секс;Skype cyber sex online 10 min 3000 Rbl HD quality
Cекс по телефону;10 min 1500 Rbl
Анилингус;+10тр, люблю скромные мужские попки
Золотой дождь;Абсолютно бесплатно , наслаждайся, любимый)
Золотой дождь;И даже на лицо ! но дорого
Копро;В т.ч. и в скайпе могу показать
Фистинг анальный;Входит в стоимость! я мисс узкое запястье! рука войдет полностью даже новичкам
Фистинг анальный;На 2 пальчика больше не получится, сорри
Фистинг классический;4 fingers  на 4 пальчика не больше!
Фингеринг;Без доплаты можно трахнуть меня 1 пальчиком)
Рабыня;О да ты сможешь делать со мной все что захочешь за 50тыс руб
Бандаж;Обожаю боль
Секс классический;1000 на моё усмотрение.
Минет без резинки;1000. Избирательна
Игрушки;Разные.помпа
Урологический массаж;Пальчиком
Фото/видео съемка;500
Виртуальный секс;1000 руб. 10 мин.
Страпон;Большой выбор
Анилингус;Обожаю
Золотой дождь;В ванной или комнате
Бандаж;Оковы.наручники.веревки.сбруя
Порка;Ремни.плетки.кнут.шлепалки
Фетиш;Трусики.обувь.чулки
Игры;Обсуждаем вместе
Анальный секс;По договоренности
Виртуальный секс;5 т
Cекс по телефону;От 1 т
Лесби откровенное;По договоренности
Анилингус;По договоренности
Урологический массаж;Доп
Боди массаж;Применяю свою технику для предупреждения многих заболеваний организма, укрепления здоровья, восстановления тела.
Профессиональный;Снимаю напряжение мышечной боли, гипертонус мышц. Техника на вытяжение подходит для остеохондроза, синдрома хронической усталости.
Расслабляющий массаж;Прикосновение моих нежных рук, умелые движения, тихая, со свечами, уютная обстановка вокруг и полное уединение доставят Вам совершенно новые ощущения.
Урологический массаж;Улучшение притока крови, профилактика простатита, геморроя. Прекрасное самочувствие и настроение.
Анальный секс;(доп)  +1500
Минет без резинки;(доп)
Игрушки;(доп) +500
Урологический массаж;(доп) +500
Секс групповой;Договорная
Секс лесбийский;Договорная
Услуги семейной паре;Договорная
Фото/видео съемка;Вас
Золотой дождь;Доп
Фистинг классический;Доп
Легкое подчинение;1000
Урологический массаж;Умею
Минет без резинки;Оплата на мое усмотрение
Куннилингус;Не умеешь-научу!
Боди массаж;Доп
Профессиональный;Доп
Расслабляющий массаж;Доп
Урологический массаж;Доп
Эротический;Доп
Ролевые игры;+1000 обожаю!
Страпон;+1000 обожаю
Золотой дождь;На тело +1000
Бандаж;+1000 в твою сторону!
Фетиш;+1000большая коллекция
Игры;+1000 обожаю поиграть!
Секс классический;В презервативе
Минет глубокий;В подарок
Куннилингус;Люблю
Окончание на грудь;.+500
Окончание на лицо;1500
Фото/видео съемка;1500
Фистинг классический;1500
Легкая доминация;При моём желании+500
Окончание на лицо;Индивидуально
Минет без резинки;Так обласкаю твоего дружка яички и попку, что только вспоминая о моих ласках ты захочешь снова приехать знаешь как кайфно когда кончиком язычка проводят по попке, по яичкам, по члену, а потом слегка облизывают головку и погружают его в ротик
Минет глубокий;Горловой, обожаю делать минет , ласкать язычком яички, попочку, чувствовать как твой член наполняется диким желанием, а потом извергается в мой нежный ротик
Куннилингус;Обожаю когда лижут мою кисочку и входят в нее рачком. а если ты это будешь попеременно входить то язычкм то членом, то это будет просто фантастика. в сексе активна, сама безумно обожаю секс и хочу получать от него кайф
Игрушки;Любишь поиграть? не вопрос, а как смотришь на то чтоб входить в одну из моих дырочек членом а в другую игрушечкой?
Окончание на грудь;Супермасочки для укрепления груди
Окончание на лицо;Хочешь чтоб моя голова находилась под твоим набухшем от желания членом и влажный язычек ласкал твою попку и яички и ты кончишь на мое личико????
Расслабляющий массаж;С удовольствием сделаю вам массаж стоп, головы и воротниковой зоны.. мне нравится доставлять мужчине удовольствие, снимать напряжение и усталость
Урологический массаж;Урологической массаж во время минета доставит незабываемое ощущение , заодно и профилактику простатита проведу)
Ролевые игры;Осуществлю твои фантазии(сценарий озвучивается предварительно)
Фото/видео съемка;Моя цензура, все права на съемку мои, официально оформленные. 50 000час
Эскорт;Очень мобильна. могу вылететь в любой город. сумма обговаривается. предоплата на карту 100 процентов
Виртуальный секс;1500 10минут
Cекс по телефону;500-10минут
Страпон;Для новичков вводный курс, подготовлю и расслаблю вашу попку так что больно не будет . размеры разные, но это не главное. главное что я подготовлю твою попочку и расслаблю ее так что даже новичек примет средний страпончик и почувствует все прелести
Анилингус;Поласкаю твою попочку нежно нежно,только чистоплотным мужчинам
Золотой дождь;Обожаю это делать во время фейсситинга. дождь в основном выдаю маленькими порциями , чтобы ты ощутил все его прелести
Фистинг классический;На всю руку полный вагинальный .с мастурбацией и сквиртом
Фетиш;Футфетиш, футджоб, бутфетиш,
Игры;Лавлифтинг, Животные игры (догиплей,пониплей), медосмотр, учительница,Возрастные игры (бебиплей, мама-сын, мачеха) начальница, тюремщица и заключенный, похищение,феминизация(переодевание), изнасилование. и многое многое другое
Секс лесбийский;2000
Минет в машине;Обсудим
Фото/видео съемка;Обсудим
Секс лесбийский;С Вашей любовницей. Трахать буду я!
Услуги семейной паре;+1,5тыс в час. Любимое. С парами интересно.
Куннилингус;+3тыс. Только через прозрачные латекные трусики
Эротический;Доведу до оргазма
Фото/видео съемка;Оплата по договоренности, в зависимости от формата съемки
Виртуальный секс;Доминирование по видеосвязи
Cекс по телефону;1тыс  - домирование по телефону (20 мин)
Лесби откровенное;С Вашей любовницей
Лесби-шоу;С Вашей любовницей
Страпон;Разные размеры. Есть попперсы.
Анилингус;+2тыс. Только через прозрачные латексные трусики
Золотой дождь;Только на вынос
Копро;+3тыс. На тело и в рот. Также возможно на вынос.
Фистинг классический;Вашей девушке
Легкая доминация;И не только легкая
Порка;Разными девайсами
Трамплинг;В обуви и голыми ножками
Игры;Реализую Ваш сценарий или придумаю свой
Эскорт;3000
Золотой дождь;1000
Секс групповой;3000
Минет в презервативе;Входит в классику
Минет без резинки;1500
Целуюсь;По симпатии
Профессиональный;1000
Эротический;1000
Лесби-шоу;3000
Легкое подчинение;2000
Игры;500
Секс групповой;+1000 с каждого
Минет глубокий;Горловой
Окончание на грудь;Обсуждаем заранее!
Окончание на лицо;Обсуждаем заранее!
Окончание в рот;В горло, с проглотом
Анилингус;Оставляю за собой право отказать
Фистинг классический;2500
Урологический массаж;+1000 Вам в попу пальчиком
Ролевые игры;Строгая училка и другие фантазии
Эскорт;Цена договорная
Страпон;500
Фетиш;Фут-фетиш моих ножек
Минет без резинки;Только чистоплотным
Куннилингус;По симпатии
Окончание на грудь;Входит в программу
Страпон;Новичкам и опытным
Золотой дождь;Обожаю
Фистинг анальный;Умею
Анальный секс;2000 сообщайте за ранее о данной услуге
Минет без резинки;По симпатии, для чистоплотных и здоровых мужчин!
Куннилингус;Для гладко выбритых мужчин, можно сухоженной бородой, не любою колкую щетину)
Игрушки;Есть разные
Окончание на грудь;Окончание на попу и тело
Урологический массаж;1000
Ролевые игры;Красивое белье
Эскорт;По договорённости
Золотой дождь;Обсуждается
Фистинг анальный;2000 предупреждать за ранее
Фистинг анальный;Доп предупреждать  за ранее
Боди массаж;2000
Ролевые игры;Доп!
Анилингус;Доп.
Фингеринг;На два-три пальчика
Секс классический;CUKOLD с моим мужчиной...разумеется ты -КУКОЛД!
Секс групповой;Гупповые встречи  -Транси-леди (30 л), -Жесткий, бескомпромисный Господин (40 л), Молодой красивый БИ-актив, БИ-пассив (30 л), Молодая красивая Рабынька (25 л),Вторая Домина( 40л)
Услуги семейной паре;Встречаюсь только с кем то с моей стороны,выбирайте из представленных участников
Куннилингус;СКВИРТУЮ!!!!!!!
Игрушки;Огромная коллекция девайсов и крупно габаритной атрибутики
Урологический массаж;Делаю нежно и с любовью
Ролевые игры;Актрисса, режиссер..
Фото/видео съемка;Вас, без моего участия
Эскорт;Шенген в наличии всегда
Страпон;Огромный выбор разных размеров
Анилингус;Вылижи меня
Золотой дождь;С удовольствием!!!!! обильно!!!!
Копро;Записываемся заранее
Фистинг анальный;Огромная коллекция девайсов для фиста, либо мои умелые ручки
Госпожа;Строга ...и милосердна
Легкая доминация;Бархат
Бандаж;Вепевочный, ленточный, цепи, кожаный мешок, пленка....
Порка;Флогеры, снэги, кнуты, розги...
Клизма;Микролакс, молочная, ромашковый отвар, классическая
Фетиш;Эротическое белье, сапоги, шпильки, латекс, кожа, мех
Трамплинг;Металлические шпильки 12 см
Игры;... костюмы... сценарии придумаем вместе
Лесби откровенное;5500
Лесби-шоу;3500
Страпон;1000
Копро;6000
Фистинг анальный;1500
Лесби откровенное;С моей подружкой)
Куннилингус;Обожаю и кончаю!
Виртуальный секс;1000 руб 10 мин
Cекс по телефону;1000 руб 10 мин
Игры;Предложу и рассмотрю ваши сценарии
Секс групповой;Жмж могу пригласить подругу
Куннилингус;Люблю
Боди массаж;60 мин 2тр ( очень хорошо работаю со спиной и шеей ) . Я не раздеваюсь
Профессиональный;Массажная школа ESTETISTA,  Массажная школа Татьяны Шубиной, ИМАТОН,
Расслабляющий массаж;С эфирными маслами или без
Урологический массаж;Знаю, что  делать
Эротический;4000 по симпатии( записываетесь на обычный массаж-если возникает желание с двух сторон-будет эротика)-разврат без проникновения
Ролевые игры;Обожаю, когда мужчина превращается в волшебника и исполняет мои желания ( как правило, дорогие желания).
Эскорт;Сопровождение на соревнования, деловые поездки
Фистинг анальный;2-3 пальца
Секс групповой;Ж+м+ж от 2500
Минет без резинки;От 1500(При взаимной симпатии)
Куннилингус;1000 (ДЛЯ ЧИСТОПЛОТНЫХ)
Целуюсь;От  (500 при взаимной симпатии)
Окончание на грудь;От 500
Окончание в рот;От2000 (При личной встрече)
